timestamp_iso,email,meta
2025-10-30T13:25:20.521640,ninad@gmail.com,"{'source': 'signupBanner', 'builderStep': 7}"
2025-10-30T19:37:13.278723,ninad.mundalik@gmail.com,"{'source': 'signupBanner', 'builderStep': 7}"
2025-10-30T19:42:06.598230,ninad@gmail.com,"{'source': 'signupBanner', 'builderStep': 7}"
2025-10-30T19:46:57.566741,ninad@gmail.com,"{'source': 'signupBanner', 'builderStep': 7}"
2025-10-31T09:26:19.614486,ninad1@gmail.com,"{'source': 'signupBanner', 'builderStep': 7}"
2025-10-31T09:27:19.730189,ninad@gmail.com,"{'source': 'signupBanner', 'builderStep': 7}"
2025-10-31T09:31:23.411079,n@gmail.com,"{'source': 'signupBanner', 'builderStep': 7}"
2025-10-31T09:32:42.116480,abc@gmail.com,"{'source': 'signupBanner', 'builderStep': 7}"
2025-10-31T09:36:36.426636,a@gmail.com,"{'source': 'signupBanner', 'builderStep': 7}"
2025-10-31T09:37:38.870270,b@gmail.com,"{'source': 'signupBanner', 'builderStep': 7}"
